category_id,category_code
2053013558249128509,apparel.shoes.keds
2053013558282682943,construction.tools.drill
2053013558316237377,furniture.kitchen.table
2053013558349791811,apparel.jeans
2053013558391734853,computers.desktop
2053013558433677895,furniture.kitchen.table
2053013558458843721,apparel.shoes
2053013558492398155,apparel.shoes
2053013558525952589,electronics.smartphone
2053013558559507023,apparel.shoes
2053013558593061457,apparel.shoes
2053013558618227283,construction.tools.welding
2053013558643393109,apparel.shoes.keds
2053013558668558935,accessories.bag
2053013558727279193,accessories.bag
2053013558752445019,auto.accessories.compressor
2053013558785999453,apparel.shoes.moccasins
2053013558802776671,apparel.shoes.ballet_shoes
2053013558836331105,apparel.shoes.keds
2053013558861496931,apparel.shoes
2053013558895051365,apparel.shoes
2053013558920217191,computers.notebook
2053013558928605800,computers.notebook
2053013558945383017,accessories.bag
2053013558978937451,sport.bicycle
2053013558987326060,apparel.shoes.moccasins
2053013559071212141,apparel.shoes
2053013559104766575,apparel.costume
2053013559138321009,apparel.trousers
2053013559255761525,sport.ski
2053013559289315959,apparel.shoes
2053013559322870393,apparel.costume
2053013559348036219,sport.ski
2053013559381590653,apparel.shoes
2053013559406756479,sport.snowboard
2053013559440310913,sport.snowboard
2053013559473865347,apparel.shoes
2053013559515808389,construction.tools.saw
2053013559549362823,computers.components.cooler
2053013559566140040,construction.tools.pump
2053013559574528649,medicine.tools.tonometer
2053013559608083083,medicine.tools.tonometer
2053013559641637517,apparel.costume
2053013559675191951,appliances.kitchen.fryer
2053013559708746385,apparel.tshirt
2053013559733912211,apparel.trousers
2053013559767466645,sport.trainer
2053013559792632471,furniture.living_room.sofa
2053013559842964121,furniture.living_room.chair
2053013559868129947,computers.desktop
2053013559901684381,furniture.kitchen.chair
2053013559935238815,apparel.shoes
2053013559960404641,appliances.environment.vacuum
2053013559985570467,country_yard.cultivator
2053013560010736293,apparel.underwear
2053013560035902119,apparel.pajamas
2053013560061067945,country_yard.lawn_mower
2053013560086233771,construction.tools.pump
2053013560111399597,apparel.shirt
2053013560144954031,sport.tennis
2053013560178508465,construction.tools.generator
2053013560220451507,apparel.shirt
2053013560237228724,appliances.kitchen.kettle
2053013560287560373,stationery.cartrige
2053013560312726199,furniture.living_room.chair
2053013560346280633,kids.carriage
2053013560388223675,apparel.sock
2053013560413389501,apparel.dress
2053013560463721151,apparel.jumper
2053013560497275585,electronics.camera.photo
2053013560530830019,electronics.camera.video
2053013560555995845,auto.accessories.compressor
2053013560581161671,auto.accessories.compressor
2053013560623104713,auto.accessories.parktronic
2053013560807654091,auto.accessories.alarm
2053013560841208525,electronics.audio.subwoofer
2053013560866374351,auto.accessories.radar
2053013560899928785,auto.accessories.videoregister
2053013561059312345,electronics.tablet
2053013561092866779,computers.desktop
2053013561126421213,apparel.jumper
2053013561185141473,accessories.umbrella
2053013561218695907,stationery.cartrige
2053013561302581993,apparel.shoes.moccasins
2053013561327747819,apparel.shoes.ballet_shoes
2053013561420022511,accessories.bag
2053013561453576945,apparel.costume
2053013561495519987,electronics.clocks
2053013561529074421,electronics.clocks
2053013561554240247,electronics.clocks
2053013561579406073,electronics.clocks
2053013561587794682,electronics.clocks
2053013561604571899,apparel.costume
2053013561621349116,kids.skates
2053013561638126333,apparel.shirt
2053013561663292159,furniture.bathroom.bath
2053013561696846593,construction.tools.welding
2053013561780732677,furniture.bedroom.pillow
2053013561814287111,auto.accessories.anti_freeze
2053013561847841545,furniture.bedroom.blanket
2053013561889784587,furniture.bedroom.blanket
2053013561956893455,kids.skates
2053013561982059281,apparel.costume
2053013562082722579,apparel.shoes
2053013562116277013,construction.tools.light
2053013562149831447,furniture.universal.light
2053013562183385881,apparel.shoes
2053013562250494749,construction.tools.welding
2053013562292437791,medicine.tools.tonometer
2053013562325992225,construction.tools.welding
2053013562359546659,apparel.shirt
2053013562393101093,apparel.jumper
2053013562451821351,apparel.costume
2053013562476987177,kids.skates
2053013562502153003,auto.accessories.anti_freeze
2053013562527318829,furniture.living_room.cabinet
2053013562560873263,furniture.living_room.cabinet
2053013562611204913,apparel.shoes
2053013562644759347,apparel.shoes
2053013562686702389,kids.skates
