brand,date,price
adam,2019-10-17,2357.84
adam,2019-10-18,4126.22
adam,2019-10-19,4126.22
adam,2019-10-20,2947.3
adam,2019-10-21,1768.38
adam,2019-10-22,5894.6
adam,2019-10-23,2947.3
adam,2019-10-24,1768.38
adam,2019-10-25,4126.22
adam,2019-10-26,2357.84
adam,2019-10-27,2357.84
adam,2019-10-28,8841.900000000001
adam,2019-10-29,4126.22
adam,2019-10-30,5305.14
adam,2019-10-31,1768.38
admira,2019-10-01,9830.31
admira,2019-10-02,8271.03
admira,2019-10-03,4951.21
admira,2019-10-04,8064.06
admira,2019-10-05,7780.69
admira,2019-10-06,5681.51
admira,2019-10-07,6665.81
admira,2019-10-08,8458.68
admira,2019-10-09,7193.27
admira,2019-10-10,6739.71
admira,2019-10-11,12057.48
admira,2019-10-12,8872.86
admira,2019-10-13,8557.77
admira,2019-10-14,11038.2
admira,2019-10-15,20722.2
admira,2019-10-16,3704.33
admira,2019-10-17,4669.37
admira,2019-10-18,2333.65
admira,2019-10-19,5349.950000000001
admira,2019-10-20,1745.21
admira,2019-10-21,7280.53
admira,2019-10-22,1946.0
admira,2019-10-23,10536.76
admira,2019-10-24,25634.52
admira,2019-10-25,37453.3
admira,2019-10-26,43800.23
admira,2019-10-27,10920.91
admira,2019-10-28,2091.69
admira,2019-10-29,3713.38
admira,2019-10-30,1677.26
admira,2019-10-31,4273.7300000000005
adriatica,2019-10-01,31757.17
adriatica,2019-10-02,26690.86
adriatica,2019-10-03,37017.55
adriatica,2019-10-04,38064.66
adriatica,2019-10-05,41472.22
adriatica,2019-10-06,51055.16
adriatica,2019-10-07,43104.19
adriatica,2019-10-08,37890.2
adriatica,2019-10-09,43591.79
adriatica,2019-10-10,32063.56
adriatica,2019-10-11,44124.35
adriatica,2019-10-12,37709.45
adriatica,2019-10-13,44965.87
adriatica,2019-10-14,31310.55
adriatica,2019-10-15,37469.13
adriatica,2019-10-16,26672.14
adriatica,2019-10-17,27331.67
adriatica,2019-10-18,27045.85
adriatica,2019-10-19,39313.38
adriatica,2019-10-20,41498.66
adriatica,2019-10-21,36737.2
adriatica,2019-10-22,62218.08
adriatica,2019-10-23,37009.86
adriatica,2019-10-24,40751.47
adriatica,2019-10-25,49357.31
adriatica,2019-10-26,41414.34
adriatica,2019-10-27,27525.21
adriatica,2019-10-28,32235.17
adriatica,2019-10-29,24546.22
adriatica,2019-10-30,37391.1
adriatica,2019-10-31,33413.59
agu,2019-10-01,360.22
agu,2019-10-02,205.84
agu,2019-10-03,360.22
agu,2019-10-04,360.22
agu,2019-10-05,154.38
agu,2019-10-06,360.22
agu,2019-10-07,102.92
agu,2019-10-08,102.92
agu,2019-10-09,205.84
agu,2019-10-10,514.6
agu,2019-10-11,154.38
agu,2019-10-12,51.46
agu,2019-10-13,154.38
agu,2019-10-14,566.0600000000001
agu,2019-10-15,154.38
agu,2019-10-16,308.76
agu,2019-10-17,51.46
agu,2019-10-18,205.84
agu,2019-10-19,154.38
agu,2019-10-20,308.76
agu,2019-10-21,566.0600000000001
agu,2019-10-22,514.6
agu,2019-10-23,308.76
agu,2019-10-24,463.14
agu,2019-10-25,617.52
agu,2019-10-26,926.28
agu,2019-10-27,668.98
agu,2019-10-28,51.46
agu,2019-10-29,51.46
agu,2019-10-30,102.92
agu,2019-10-31,51.46
aimoto,2019-10-01,30034.14
aimoto,2019-10-02,38625.54
aimoto,2019-10-03,41204.41
aimoto,2019-10-04,45110.32
aimoto,2019-10-05,33271.32
aimoto,2019-10-06,38171.47
aimoto,2019-10-07,40617.32
aimoto,2019-10-08,39107.7
aimoto,2019-10-09,44078.34
aimoto,2019-10-10,37890.53
aimoto,2019-10-11,50787.9
aimoto,2019-10-12,50879.98
aimoto,2019-10-13,59823.33
aimoto,2019-10-14,44631.52
aimoto,2019-10-15,45509.58
aimoto,2019-10-16,41231.06
aimoto,2019-10-17,42751.93
aimoto,2019-10-18,45027.96
aimoto,2019-10-19,38350.53
aimoto,2019-10-20,48582.12
aimoto,2019-10-21,32937.71
aimoto,2019-10-22,37829.84
aimoto,2019-10-23,44744.43
aimoto,2019-10-24,42346.66
aimoto,2019-10-25,37834.86
aimoto,2019-10-26,33751.04
aimoto,2019-10-27,34076.07
aimoto,2019-10-28,28912.53
aimoto,2019-10-29,23573.19
aimoto,2019-10-30,32644.38
aimoto,2019-10-31,24184.09
akai,2019-10-01,9753.66
akai,2019-10-02,11973.32
akai,2019-10-03,12646.95
akai,2019-10-04,7705.95
akai,2019-10-05,10357.91
akai,2019-10-06,11268.44
akai,2019-10-07,10475.38
akai,2019-10-08,14422.09
akai,2019-10-09,16460.56
akai,2019-10-10,10831.34
akai,2019-10-11,9300.58
akai,2019-10-12,10605.66
akai,2019-10-13,10509.01
akai,2019-10-14,12574.21
akai,2019-10-15,10748.62
akai,2019-10-16,9297.1
akai,2019-10-17,11203.73
akai,2019-10-18,8862.74
akai,2019-10-19,3989.08
akai,2019-10-20,4330.94
akai,2019-10-21,8340.47
akai,2019-10-22,8949.82
akai,2019-10-23,8606.36
akai,2019-10-24,6672.8
akai,2019-10-25,7270.1
akai,2019-10-26,8796.4
akai,2019-10-27,8789.44
akai,2019-10-28,7081.94
akai,2019-10-29,4935.09
akai,2019-10-30,9697.43
akai,2019-10-31,8474.42
akg,2019-10-01,2762.44
akg,2019-10-02,2270.3
akg,2019-10-03,2456.15
akg,2019-10-04,5204.2
akg,2019-10-05,4476.26
akg,2019-10-06,2939.04
akg,2019-10-07,5942.92
akg,2019-10-08,5570.26
akg,2019-10-09,5300.4800000000005
akg,2019-10-10,2638.9
akg,2019-10-11,5626.83
akg,2019-10-12,4488.09
akg,2019-10-13,5376.12
akg,2019-10-14,2983.35
akg,2019-10-15,6784.67
akg,2019-10-16,7791.16
akg,2019-10-17,4787.21
akg,2019-10-18,4533.91
akg,2019-10-19,7235.13
akg,2019-10-20,4433.0
akg,2019-10-21,8132.4
akg,2019-10-22,5554.77
akg,2019-10-23,3426.57
akg,2019-10-24,3026.06
akg,2019-10-25,5467.24
akg,2019-10-26,3256.17
akg,2019-10-27,4590.03
akg,2019-10-28,6838.19
akg,2019-10-29,4461.85
akg,2019-10-30,1845.1
akg,2019-10-31,7240.27
alctron,2019-10-19,568.87
alctron,2019-10-20,1863.63
alctron,2019-10-21,874.1899999999999
alctron,2019-10-22,2960.55
alctron,2019-10-23,2366.67
alctron,2019-10-24,3305.74
alctron,2019-10-25,4135.91
alctron,2019-10-26,2599.93
alctron,2019-10-27,4971.85
alctron,2019-10-28,5398.59
alctron,2019-10-29,1323.07
alctron,2019-10-30,1519.46
alctron,2019-10-31,2860.5299999999997
alesis,2019-10-01,42467.21
alesis,2019-10-02,53242.27
alesis,2019-10-03,43141.06
alesis,2019-10-04,44302.08
alesis,2019-10-05,33827.96
alesis,2019-10-06,44892.72
alesis,2019-10-07,44830.22
alesis,2019-10-08,46863.43
alesis,2019-10-09,52199.67
alesis,2019-10-10,48510.119999999995
alesis,2019-10-11,41908.89
alesis,2019-10-12,40725.01
alesis,2019-10-13,70673.84999999999
alesis,2019-10-14,57141.39
alesis,2019-10-15,64701.689999999995
alesis,2019-10-16,73819.72
alesis,2019-10-17,57144.009999999995
alesis,2019-10-18,28392.35
alesis,2019-10-19,13833.6
alesis,2019-10-20,17352.01
alesis,2019-10-21,46218.91
alesis,2019-10-22,64373.57
alesis,2019-10-23,16281.97
alesis,2019-10-24,19389.51
alesis,2019-10-25,17987.29
alesis,2019-10-26,11416.72
alesis,2019-10-27,13971.73
alesis,2019-10-28,14158.49
alesis,2019-10-29,18690.51
alesis,2019-10-30,17180.88
alesis,2019-10-31,16473.95
alphard,2019-10-01,65711.6
alphard,2019-10-02,65734.93
alphard,2019-10-03,48768.09
alphard,2019-10-04,88487.52
alphard,2019-10-05,78635.95
alphard,2019-10-06,60535.64
alphard,2019-10-07,68992.68
alphard,2019-10-08,98896.27
alphard,2019-10-09,90293.91
alphard,2019-10-10,72093.72
alphard,2019-10-11,54164.13
alphard,2019-10-12,60303.14
alphard,2019-10-13,56042.09
alphard,2019-10-14,53308.83
alphard,2019-10-15,41063.9
alphard,2019-10-16,53394.33
alphard,2019-10-17,38422.05
alphard,2019-10-18,40238.23
alphard,2019-10-19,32367.08
alphard,2019-10-20,40163.67
alphard,2019-10-21,45035.18
alphard,2019-10-22,43528.79
alphard,2019-10-23,46015.57
alphard,2019-10-24,41096.52
alphard,2019-10-25,35396.48
alphard,2019-10-26,33705.15
alphard,2019-10-27,38927.03
alphard,2019-10-28,48038.43
alphard,2019-10-29,44213.11
alphard,2019-10-30,39582.8
alphard,2019-10-31,34287.590000000004
alpina,2019-10-15,38939.97
alpina,2019-10-16,50922.32
alpina,2019-10-17,29941.08
alpina,2019-10-18,47205.3
alpina,2019-10-19,21489.85
alpina,2019-10-20,36015.369999999995
alpina,2019-10-21,16237.27
alpina,2019-10-22,25960.03
alpina,2019-10-23,28053.24
alpina,2019-10-24,21255.15
alpina,2019-10-25,17655.56
alpina,2019-10-26,33775.409999999996
alpina,2019-10-27,25422.04
alpina,2019-10-28,24864.5
alpina,2019-10-29,30097.56
alpina,2019-10-30,29031.39
alpina,2019-10-31,40661.54
alpine,2019-10-01,71919.31
alpine,2019-10-02,76480.55
alpine,2019-10-03,66526.62
alpine,2019-10-04,126236.98
alpine,2019-10-05,83411.81
alpine,2019-10-06,51887.65
alpine,2019-10-07,42504.71
alpine,2019-10-08,93250.94
alpine,2019-10-09,102996.83
alpine,2019-10-10,85567.33
alpine,2019-10-11,45661.58
alpine,2019-10-12,36636.27
alpine,2019-10-13,42501.34
alpine,2019-10-14,60154.560000000005
alpine,2019-10-15,59739.53
alpine,2019-10-16,63920.37
alpine,2019-10-17,53250.15
alpine,2019-10-18,51592.48
alpine,2019-10-19,48421.01
alpine,2019-10-20,51752.79
alpine,2019-10-21,37528.91
alpine,2019-10-22,13187.42
alpine,2019-10-23,21031.94
alpine,2019-10-24,24300.54
alpine,2019-10-25,29672.52
alpine,2019-10-26,18392.71
alpine,2019-10-27,26252.33
alpine,2019-10-28,27468.46
alpine,2019-10-29,19163.95
alpine,2019-10-30,14493.28
alpine,2019-10-31,17408.920000000002
alvarez,2019-10-01,285.72
alvarez,2019-10-15,473.62
alvarez,2019-10-18,1173.77
alvarez,2019-10-19,947.24
alvarez,2019-10-22,236.81
alvarez,2019-10-23,1184.05
alvarez,2019-10-25,1093.97
alvarez,2019-10-27,710.4300000000001
alvarez,2019-10-31,473.62
aoc,2019-10-04,669.26
aoc,2019-10-12,442.74
aoc,2019-10-13,1240.65
aoc,2019-10-17,1693.66
aoc,2019-10-19,664.11
aoc,2019-10-23,906.02
aoc,2019-10-24,2162.12
aoc,2019-10-25,885.48
aoc,2019-10-26,669.26
aoc,2019-10-29,334.63
aoc,2019-10-31,221.37
apart,2019-10-01,146.38
apart,2019-10-02,318.1
apart,2019-10-03,1760.6999999999998
apart,2019-10-04,2468.31
apart,2019-10-05,696.5799999999999
apart,2019-10-06,305.56
apart,2019-10-07,1002.76
apart,2019-10-08,147.05
apart,2019-10-09,2449.37
apart,2019-10-10,2172.63
apart,2019-10-11,2275.19
apart,2019-10-12,845.68
apart,2019-10-13,187.87
apart,2019-10-14,2155.7799999999997
apart,2019-10-15,617.26
apart,2019-10-16,670.94
apart,2019-10-17,554.4
apart,2019-10-18,605.84
apart,2019-10-19,3456.79
apart,2019-10-20,1605.7
apart,2019-10-21,666.55
apart,2019-10-22,1834.85
apart,2019-10-23,485.37
apart,2019-10-24,1777.23
apart,2019-10-25,1020.62
apart,2019-10-26,1260.98
apart,2019-10-27,1478.06
apart,2019-10-28,192.97000000000003
apart,2019-10-29,1038.4
apart,2019-10-30,1127.69
apart,2019-10-31,2084.33
apple,2019-10-01,105829513.37
apple,2019-10-02,101835218.78
apple,2019-10-03,99865027.07
apple,2019-10-04,127738720.9
apple,2019-10-05,113273403.05
apple,2019-10-06,111718870.56
apple,2019-10-07,94607379.78
apple,2019-10-08,94903634.39
apple,2019-10-09,96060372.7
apple,2019-10-10,98078498.85
apple,2019-10-11,111176825.4
apple,2019-10-12,105895597.2
apple,2019-10-13,117649728.44
apple,2019-10-14,120328939.46
apple,2019-10-15,123481249.79
apple,2019-10-16,120925671.43
apple,2019-10-17,113409990.4
apple,2019-10-18,110397839.45
